nu,[0]CO2-HITRAN:X=0.2-T=296K-P=1atm-L=4000cm
6361.833,0.0532361613618664
6361.836,0.05309082394352826
6361.839,0.052954432280082474
6361.842,0.05282686885176121
6361.845,0.05270802393629429
6361.848,0.05259779524458259
6361.851,0.05249608756584719
6361.854,0.0524028124230033
6361.857,0.05231788773764988
6361.86,0.052241237502921374
6361.863,0.05217279146162163
6361.866,0.05211248478660762
6361.869,0.0520602577603958
6361.872,0.05201605545140987
6361.875,0.05197982738522109
6361.878,0.051951527210561205
6361.881,0.05193111236180629
6361.884,0.05191854372203993
6361.887,0.051913785293663604
6361.89,0.05191680388671921
6361.893,0.051927568838477905
6361.896,0.05194605178117748
6361.899,0.051972226477714066
6361.902,0.05200606874719279
6361.905,0.05204755650301557
6361.908,0.05209666992510566
6361.911,0.052153391784448284
6361.914,0.05221770793199143
6361.917,0.05228960795496709
6361.92,0.05236908599206406
6361.923,0.05245614168525561
6361.926,0.052550781231547876
6361.929,0.05265301848402262
6361.932,0.05276287604008938
6361.935,0.05288038624767293
6361.938,0.05300559205868873
6361.941,0.05313854766452119
6361.944,0.05327931886035874
6361.947,0.05342798310322145
6361.95,0.0535846292504878
6361.953,0.05374935698915723
6361.956,0.05392227598828281
6361.959,0.054103504825421186
6361.962,0.054293169750765514
6361.965,0.05449140335886236
6361.968,0.05469834323758397
6361.971,0.054914130658196274
6361.974,0.05513890936054815
6361.977,0.05537282447540064
6361.98,0.055616021613546326
6361.983,0.05586864614011945
6361.986,0.056130842643433126
6361.989,0.05640275460132742
6361.992,0.056684524244444166
6361.995,0.0569762926147355
6361.998,0.05727819981827467
6362.001,0.05759038547330515
6362.004,0.057912989356661476
6362.007,0.05824615225340931
6362.01,0.058590017015136
6362.013,0.058944729831213113
6362.016,0.05931044171419214
6362.019,0.0596873101951486
6362.022,0.0600755012173333
